Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR31835662,2024-12-26 16:12:09,2024-12-26 16:08:37,11738701,2371217602,11738701,202,1438,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835662/SRR31835662.lite.1,SRX27195683,EA50N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532910,SAMN05330360,simple,7227,Drosophila melanogaster,EA50N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,4BE11A171657660055117089A637A1C7,4F87D8B3FAE43691DE946B0BD1B16348
SRR31835651,2024-12-26 16:12:11,2024-12-26 16:08:38,15174597,3065268594,15174597,202,2085,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835651/SRR31835651.lite.1,SRX27195694,EA58N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532921,SAMN05330361,simple,7227,Drosophila melanogaster,EA58N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,7C4686F8318B25114924FF02F5FDDCA9,414FE72DBD956E2152AFE5399A3F45F9
SRR31835640,2024-12-26 16:12:08,2024-12-26 16:08:49,11620791,2347399782,11620791,202,1477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835640/SRR31835640.lite.1,SRX27195705,EA59N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532932,SAMN05330362,simple,7227,Drosophila melanogaster,EA59N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,6A26012132DFA320BEB682EB39592410,9A9E0F9429FEDB822D89C6FA8E255D77
SRR31835629,2024-12-26 16:17:40,2024-12-26 16:11:10,19225695,3883590390,19225695,202,2302,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835629/SRR31835629.lite.1,SRX27195716,EA70N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532943,SAMN05330363,simple,7227,Drosophila melanogaster,EA70N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,1D6E2C7814A0FD057AAF7FDB310E9B52,8F7696C42C6AB2644F22B1DD2233779C
SRR31835618,2024-12-26 16:17:41,2024-12-26 16:11:00,27719069,5599251938,27719069,202,3554,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835618/SRR31835618.lite.1,SRX27195727,EA84N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532954,SAMN05330364,simple,7227,Drosophila melanogaster,EA84N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,D5D6DF641150AFEEE93665A812AFDF14,55FFFD9553380B904BAD4223EF4F65BE
SRR31835607,2024-12-26 16:12:08,2024-12-26 16:07:18,6403320,1293470640,6403320,202,825,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835607/SRR31835607.lite.1,SRX27195738,EA86N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532965,SAMN05330365,simple,7227,Drosophila melanogaster,EA86N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,D9DB7A2E93FA894C1926E66B2AD2467D,1C380CBA1D00AD3C5AB505C62A984639
SRR31835564,2024-12-26 16:12:11,2024-12-26 16:09:27,27617697,5578774794,27617697,202,3670,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835564/SRR31835564.lite.1,SRX27195781,EA87N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532976,SAMN05330366,simple,7227,Drosophila melanogaster,EA87N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,B3655090D0F0EA854419BB7FFCB3B55B,95EB85FA75DDF07456A130D0D39D1119
SRR31835553,2024-12-26 16:17:40,2024-12-26 16:10:05,19887853,4017346306,19887853,202,2502,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835553/SRR31835553.lite.1,SRX27195792,EA90N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532987,SAMN05330367,simple,7227,Drosophila melanogaster,EA90N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,557F398AA02BEC7E8A9CA3EFDB83EE7E,85BCB2F82ED88F33636072DC1829927E
SRR31835542,2024-12-26 16:17:40,2024-12-26 16:10:14,18718269,3781090338,18718269,202,2536,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835542/SRR31835542.lite.1,SRX27195803,EA91N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532999,SAMN05330368,simple,7227,Drosophila melanogaster,EA91N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,4133F104A6C9334C7A39A1D3307BFCDD,D5EA81A777120EDB9E5475A215BCCCFC
SRR31835467,2024-12-26 16:12:08,2024-12-26 16:06:51,8677025,1752759050,8677025,202,1113,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835467/SRR31835467.lite.1,SRX27195878,EA93N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533010,SAMN05330369,simple,7227,Drosophila melanogaster,EA93N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,62C255B1E8A92D23C21EC35F7F512F18,0C440BBDAD38EB23B1623806654E80E5
